,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,eligible,Singleton,Small_Family,Large_Family,total_income,debt_income_ratio
52,0,0,0,0,4230,0.0,112,360,1,1,1,0,0,0,4230,37
53,1,1,0,0,4616,0.0,134,360,1,2,1,0,1,0,4616,34
54,0,1,0,1,11500,0.0,286,360,0,2,1,1,0,0,11500,40
55,1,1,0,0,2708,1167.0,97,360,1,1,1,0,1,0,3875,39
56,1,1,0,0,2132,1591.0,96,360,1,1,1,0,0,0,3723,38
57,1,1,0,0,3366,2200.0,135,360,1,0,1,0,0,0,5566,41
58,1,1,0,0,8080,2250.0,180,360,1,2,1,1,0,0,10330,57
59,1,1,1,0,3357,2859.0,144,360,1,2,1,0,1,0,6216,43
60,1,1,0,0,2500,3796.0,120,360,1,2,1,0,0,0,6296,52
61,1,1,0,0,3029,0.0,99,360,1,2,0,0,0,1,3029,30
62,1,1,1,1,2609,3449.0,165,180,0,0,0,0,0,0,6058,36
63,1,1,0,0,4945,0.0,128,360,0,0,1,1,0,0,4945,38
64,0,0,0,0,4166,0.0,116,360,0,1,1,0,0,0,4166,35
65,1,1,0,0,5726,4595.0,258,360,1,1,1,0,0,0,10321,40
66,1,0,1,0,3200,2254.0,126,180,0,2,0,0,0,0,5454,43
67,1,1,0,0,10750,0.0,312,360,1,2,1,1,0,0,10750,34
68,1,1,1,1,7100,0.0,125,60,1,2,0,0,0,1,7100,56
69,0,0,0,0,4300,0.0,136,360,0,1,0,0,0,0,4300,31
70,1,1,0,0,3208,3066.0,172,360,1,2,1,0,0,0,6274,36
71,1,1,1,1,1875,1875.0,97,360,1,1,1,0,1,0,3750,38
72,1,0,0,0,3500,0.0,81,300,1,1,1,0,0,0,3500,43
73,1,1,1,0,4755,0.0,95,360,0,1,1,0,0,1,4755,50
74,1,1,0,1,5266,1774.0,187,360,1,1,1,0,0,1,7040,37
75,1,0,0,0,3750,0.0,113,480,1,2,1,0,0,0,3750,33
76,1,0,0,0,3750,4750.0,176,360,1,2,1,0,0,0,8500,48
77,1,1,0,1,1000,3022.0,110,360,1,2,1,1,0,0,4022,36
78,1,1,0,0,3167,4000.0,180,300,0,1,0,0,0,1,7167,39
79,1,1,1,1,3333,2166.0,130,360,2,1,1,0,0,1,5499,42
80,0,0,0,0,3846,0.0,111,360,1,1,1,0,0,0,3846,34
81,1,1,0,1,2395,0.0,128,360,1,1,0,1,0,0,2395,18
82,0,1,0,0,1378,1881.0,167,360,1,2,0,0,1,0,3259,19
83,1,1,0,0,6000,2250.0,265,360,2,1,0,0,0,0,8250,31
84,1,1,0,0,3988,0.0,50,240,1,2,1,1,0,0,3988,79
85,1,0,0,0,2366,2531.0,136,360,1,1,1,0,0,0,4897,36
86,1,1,1,0,3333,2000.0,99,360,2,1,1,0,1,0,5333,53
87,1,1,0,0,2500,2118.0,104,360,1,1,1,0,0,0,4618,44
88,1,0,0,0,8566,0.0,210,360,1,2,1,0,0,0,8566,40
89,1,1,0,0,5695,4167.0,175,360,1,1,1,0,0,0,9862,56
90,1,1,0,0,2958,2900.0,131,360,1,1,1,0,0,0,5858,44
91,1,1,0,0,6250,5654.0,188,180,1,1,0,0,1,0,11904,63
92,1,1,1,0,3273,1820.0,81,360,1,2,1,0,1,0,5093,62
93,1,0,0,0,4133,0.0,122,360,1,1,1,0,0,0,4133,33
94,1,0,1,0,3620,0.0,25,120,1,1,1,0,0,0,3620,144
95,1,0,0,0,6782,0.0,128,360,2,2,1,0,0,0,6782,52
96,0,1,0,0,2484,2302.0,137,360,1,1,1,0,0,0,4786,34
97,1,1,0,0,1977,997.0,50,360,1,1,1,0,0,0,2974,59
98,1,1,1,0,4188,0.0,115,180,1,1,0,0,0,0,4188,36
99,1,1,0,0,1759,3541.0,131,360,1,1,1,0,0,0,5300,40
100,1,1,1,0,4288,3263.0,133,180,1,2,0,0,1,0,7551,56
101,1,0,0,0,4843,3806.0,151,360,1,1,1,0,0,0,8649,57
102,1,1,0,0,13650,0.0,128,360,1,2,1,0,0,0,13650,106
103,1,1,0,0,4652,3583.0,128,360,1,1,1,0,0,0,8235,64
104,1,1,0,0,3816,754.0,160,360,1,2,0,0,0,0,4570,28
105,1,1,0,0,3052,1030.0,100,360,1,2,1,1,0,0,4082,40
106,1,1,0,0,11417,1126.0,225,360,1,2,1,0,1,0,12543,55
107,1,0,1,0,7333,0.0,120,360,1,0,1,0,0,0,7333,61
108,1,1,0,0,3800,3600.0,216,360,0,2,1,0,1,0,7400,34
109,1,1,1,0,2071,754.0,94,480,1,1,1,0,0,1,2825,30
110,1,0,0,0,5316,0.0,136,360,1,2,1,0,0,0,5316,39
111,0,1,0,0,2929,2333.0,139,360,1,1,1,0,0,0,5262,37
112,1,1,1,0,3572,4114.0,152,360,0,0,1,0,0,0,7686,50
113,0,0,0,1,7451,0.0,128,360,1,1,1,1,0,0,7451,58
114,1,0,0,0,5050,0.0,118,360,1,1,1,0,0,0,5050,42
115,1,1,0,0,14583,0.0,185,180,1,0,1,1,0,0,14583,78
116,0,1,0,0,3167,2283.0,154,360,1,1,1,0,0,0,5450,35
117,1,1,0,0,2214,1398.0,85,360,2,2,1,1,0,0,3612,42
118,1,1,0,0,5568,2142.0,175,360,1,0,1,0,0,0,7710,44
119,0,0,0,0,10408,0.0,259,360,1,2,1,0,0,0,10408,40
120,1,1,0,0,5667,2667.0,180,360,1,0,1,0,0,0,8334,46
121,0,0,0,0,4166,0.0,44,360,1,1,1,0,0,0,4166,94
122,0,0,0,0,2137,8980.0,137,360,0,1,1,0,0,0,11117,81
123,1,1,0,0,2957,0.0,81,360,1,1,1,0,1,0,2957,36
124,1,1,1,0,4300,2014.0,194,360,1,0,0,0,0,0,6314,32
125,0,0,0,0,3692,0.0,93,360,2,0,1,0,0,0,3692,39
126,1,1,0,0,23803,0.0,370,360,1,0,1,0,0,1,23803,64
127,1,0,0,0,3865,1640.0,128,360,1,0,1,0,0,0,5505,43
128,1,1,0,1,10513,3850.0,160,180,0,2,1,1,0,0,14363,89
129,1,1,0,0,6080,2569.0,182,360,2,0,1,0,0,0,8649,47
130,1,0,0,1,20166,0.0,650,480,2,2,1,0,0,0,20166,31
131,1,0,0,0,2014,1929.0,74,360,1,2,1,0,0,0,3943,53
132,1,0,0,0,2718,0.0,70,360,1,1,1,0,0,0,2718,38
133,1,1,0,1,3459,0.0,25,120,1,1,1,0,0,0,3459,138
134,1,0,0,0,4895,0.0,102,360,1,1,1,0,0,0,4895,47
135,1,1,0,0,4000,7750.0,290,360,1,1,1,0,0,1,11750,40
136,0,1,0,0,4583,0.0,84,360,1,0,1,0,0,0,4583,54
137,1,1,0,1,3316,3500.0,88,360,1,2,1,0,1,0,6816,77
138,1,0,0,0,14999,0.0,242,360,0,1,1,0,0,0,14999,61
139,1,1,1,0,4200,1430.0,129,360,1,0,1,0,1,0,5630,43
140,1,1,0,0,5042,2083.0,185,360,1,0,1,0,1,0,7125,38
141,1,0,0,0,5417,0.0,168,360,1,2,0,0,0,0,5417,32
142,1,0,0,1,6950,0.0,175,180,1,1,0,0,0,0,6950,39
143,1,1,0,0,2698,2034.0,122,360,1,1,1,0,0,0,4732,38
144,1,1,0,0,11757,0.0,187,180,1,2,0,0,1,0,11757,62
145,0,1,0,0,2330,4486.0,100,360,1,1,1,0,0,0,6816,68
146,0,1,0,0,14866,0.0,70,360,1,2,1,0,1,0,14866,212
147,1,1,0,0,1538,1425.0,30,360,1,2,1,1,0,0,2963,98
148,0,0,0,0,10000,1666.0,225,360,1,0,1,0,0,0,11666,51
149,1,1,0,0,4860,830.0,125,360,1,1,1,0,0,0,5690,45
150,1,0,0,0,6277,0.0,118,360,0,0,1,0,0,0,6277,53
151,1,1,0,1,2577,3750.0,152,360,1,0,1,0,0,0,6327,41
152,1,0,0,0,9166,0.0,244,360,1,2,1,0,0,0,9166,37
153,1,1,1,0,2281,0.0,113,360,1,0,0,0,1,0,2281,20
154,1,0,0,0,3254,0.0,50,360,1,2,1,0,0,0,3254,65
155,1,1,0,0,39999,0.0,600,180,0,1,0,0,0,1,39999,66
156,1,1,0,0,6000,0.0,160,360,2,0,1,1,0,0,6000,37
157,1,1,0,0,9538,0.0,187,360,1,2,1,1,0,0,9538,51
158,1,0,0,0,2980,2083.0,120,360,1,0,1,0,0,0,5063,42
159,1,1,0,0,4583,5625.0,255,360,1,1,1,0,0,0,10208,40
160,1,1,1,0,1863,1041.0,98,360,1,1,0,0,0,0,2904,29
161,1,1,0,0,7933,0.0,275,360,1,2,0,0,0,0,7933,28
162,1,1,0,0,3089,1280.0,121,360,0,1,1,1,0,0,4369,36
163,1,1,0,0,4167,1447.0,158,360,1,0,1,0,1,0,5614,35
164,1,1,0,0,9323,0.0,75,180,1,2,1,0,0,0,9323,124
165,1,1,0,0,3707,3166.0,182,360,1,0,1,0,0,0,6873,37
166,0,1,0,0,4583,0.0,112,360,1,0,1,0,0,0,4583,40
167,1,1,0,0,2439,3333.0,129,360,1,0,1,0,0,0,5772,44
168,1,0,0,0,2237,0.0,63,480,0,1,1,0,0,0,2237,35
169,1,1,0,0,8000,0.0,200,360,1,1,1,0,1,0,8000,40
170,1,1,1,0,1820,1769.0,95,360,1,0,1,0,0,0,3589,37
171,1,1,0,0,51763,0.0,700,300,1,2,1,0,0,1,51763,73
172,1,1,1,0,3522,0.0,81,180,1,0,0,0,0,1,3522,43
173,1,1,0,0,5708,5625.0,187,360,1,1,1,0,0,0,11333,60
174,1,1,1,1,4344,736.0,87,360,1,1,1,0,0,0,5080,58
175,1,1,0,0,3497,1964.0,116,360,1,0,1,0,0,0,5461,47
176,1,1,0,0,2045,1619.0,101,360,1,0,1,0,1,0,3664,36
177,1,1,0,0,5516,11300.0,495,360,0,1,1,0,0,1,16816,33
178,1,1,0,0,3750,0.0,116,360,1,1,0,1,0,0,3750,32
179,1,0,1,0,2333,1451.0,102,480,0,2,1,0,0,0,3784,37
180,1,1,0,0,6400,7250.0,180,360,0,2,1,1,0,0,13650,75
181,1,0,0,0,1916,5063.0,67,360,2,0,1,0,0,0,6979,104
182,1,1,0,0,4600,0.0,73,180,1,1,0,0,0,0,4600,63
183,1,1,0,0,33846,0.0,260,360,1,1,1,1,0,0,33846,130
184,0,1,0,0,3625,0.0,108,360,1,1,1,0,0,0,3625,33
185,1,1,0,1,39147,4750.0,120,360,1,1,1,0,0,0,43897,365
186,1,1,0,1,2178,0.0,66,300,0,0,0,1,0,0,2178,33
187,1,1,0,0,2383,2138.0,58,360,2,0,1,0,0,0,4521,77
188,1,1,0,1,674,5296.0,168,360,1,0,1,0,0,0,5970,35
189,1,1,0,0,9328,0.0,188,180,1,0,0,0,0,0,9328,49
190,1,0,1,0,4885,0.0,48,360,1,0,1,0,0,0,4885,101
191,1,0,0,0,12000,0.0,164,360,1,1,1,0,0,0,12000,73
192,1,1,1,0,6033,0.0,160,360,1,2,1,0,0,0,6033,37
193,1,0,0,0,3858,0.0,76,360,1,1,1,0,0,0,3858,50
194,1,0,0,0,4191,0.0,120,360,1,0,1,0,0,0,4191,34
195,1,1,0,0,3125,2583.0,170,360,1,1,1,1,0,0,5708,33
196,1,0,0,0,8333,3750.0,187,360,1,0,1,0,0,0,12083,64
197,0,0,1,0,1907,2365.0,120,360,1,2,1,0,0,0,4272,35
198,0,1,0,0,3416,2816.0,113,360,2,1,1,0,0,0,6232,55
199,1,0,0,1,11000,0.0,83,360,1,2,1,0,0,0,11000,132
200,1,1,1,0,2600,2500.0,90,360,1,1,1,1,0,0,5100,56
201,1,0,0,0,4923,0.0,166,360,0,1,0,0,1,0,4923,29
202,1,1,1,0,3992,0.0,128,180,1,2,0,0,0,1,3992,31
203,1,1,1,0,3500,1083.0,135,360,1,2,1,1,0,0,4583,33
204,1,1,1,0,3917,0.0,124,360,1,1,0,0,1,0,3917,31
205,0,0,1,0,4408,0.0,120,360,1,1,1,0,0,0,4408,36
206,0,0,0,0,3244,0.0,80,360,1,2,1,0,0,0,3244,40
207,1,0,1,0,3975,2531.0,55,360,1,0,1,0,0,0,6506,118
208,1,0,0,0,2479,0.0,59,360,1,2,1,0,0,0,2479,42
209,1,0,0,0,3418,0.0,127,360,1,1,0,0,0,0,3418,26
210,0,0,0,0,10000,0.0,214,360,1,1,1,0,0,0,10000,46
211,1,1,0,0,3430,1250.0,128,360,0,1,1,0,0,1,4680,36
212,1,1,0,1,7787,0.0,240,360,1,2,0,1,0,0,7787,32
213,1,1,1,1,5703,0.0,130,360,1,0,1,0,0,1,5703,43
214,1,1,0,0,3173,3021.0,137,360,1,2,1,0,0,0,6194,45
215,1,1,1,0,3850,983.0,100,360,1,1,1,0,0,1,4833,48
216,1,1,0,0,150,1800.0,135,360,1,0,0,0,0,0,1950,14
217,1,1,0,0,3727,1775.0,131,360,1,1,1,0,0,0,5502,42
218,1,1,0,0,5000,0.0,72,360,0,1,1,0,1,0,5000,69
219,0,1,0,0,4283,2383.0,127,360,2,1,1,0,1,0,6666,52
220,1,1,0,0,2221,0.0,60,360,0,2,1,0,0,0,2221,37
221,1,1,0,0,4009,1717.0,116,360,1,1,1,0,1,0,5726,49
222,1,0,0,0,2971,2791.0,144,360,1,1,1,0,0,0,5762,40
223,1,1,0,0,7578,1010.0,175,360,1,1,1,0,0,0,8588,49
224,1,1,0,0,6250,0.0,128,360,1,1,1,0,0,0,6250,48
225,1,1,0,0,3250,0.0,170,360,1,0,0,0,0,0,3250,19
226,1,1,1,1,4735,0.0,138,360,1,2,1,0,0,0,4735,34
227,1,1,0,0,6250,1695.0,210,360,1,1,1,0,1,0,7945,37
228,1,1,0,0,4758,0.0,158,480,1,1,1,0,0,0,4758,30
229,1,0,0,1,6400,0.0,200,360,1,0,0,0,0,0,6400,32
230,1,1,0,0,2491,2054.0,104,360,1,1,1,1,0,0,4545,43
231,1,1,0,0,3716,0.0,42,180,1,0,1,0,0,0,3716,88
232,1,0,1,0,3189,2598.0,120,360,1,0,1,0,0,0,5787,48
233,0,0,0,0,8333,0.0,280,360,1,1,0,0,0,0,8333,29
234,1,1,0,0,3155,1779.0,140,360,1,1,1,1,0,0,4934,35
235,1,1,0,0,5500,1260.0,170,360,1,0,1,1,0,0,6760,39
236,1,1,0,0,5746,0.0,255,360,2,2,0,0,0,0,5746,22
237,0,0,0,1,3463,0.0,122,360,2,2,0,0,0,0,3463,28
238,0,0,0,0,3812,0.0,112,360,1,0,1,1,0,0,3812,34
239,1,1,0,0,3315,0.0,96,360,1,1,1,1,0,0,3315,34
240,1,1,0,0,5819,5000.0,120,360,1,0,1,0,1,0,10819,90
241,1,1,1,0,2510,1983.0,140,180,1,2,0,1,0,0,4493,32
242,1,0,0,0,2965,5701.0,155,60,1,2,0,0,0,0,8666,55
243,1,1,0,1,6250,1300.0,108,360,1,0,1,0,1,0,7550,69
244,1,1,1,0,3406,4417.0,123,360,1,1,1,0,0,0,7823,63
245,1,0,0,1,6050,4333.0,120,180,1,2,1,0,0,0,10383,86
246,1,1,0,0,9703,0.0,112,360,1,2,1,0,1,0,9703,86
247,1,1,1,0,6608,0.0,137,180,1,2,0,1,0,0,6608,48
248,1,1,0,0,2882,1843.0,123,480,1,1,1,1,0,0,4725,38
249,1,1,0,0,1809,1868.0,90,360,1,2,1,0,0,0,3677,40
250,1,1,1,0,1668,3890.0,201,360,0,1,0,0,0,0,5558,27
251,0,0,0,0,3427,0.0,138,360,1,2,0,0,1,0,3427,24
252,1,0,1,1,2583,2167.0,104,360,1,0,1,0,0,0,4750,45
253,1,1,1,0,2661,7101.0,279,180,1,1,0,1,0,0,9762,34
254,1,0,0,1,16250,0.0,192,360,0,2,1,0,0,0,16250,84
255,0,0,0,0,3083,0.0,255,360,1,0,0,0,0,1,3083,12
256,1,0,1,0,6045,0.0,115,360,0,0,1,0,0,0,6045,52
257,1,1,0,0,5250,0.0,94,360,1,2,1,0,0,1,5250,55
258,1,1,0,0,14683,2100.0,304,360,1,0,1,0,0,0,16783,55
259,1,1,1,0,4931,0.0,128,360,2,1,1,0,0,1,4931,38
260,1,1,0,0,6083,4250.0,330,360,2,2,0,1,0,0,10333,31
261,1,0,0,0,2060,2209.0,134,360,1,1,0,0,0,0,4269,31
262,0,0,0,0,3481,0.0,155,36,1,1,0,1,0,0,3481,22
263,0,0,0,0,7200,0.0,120,360,1,0,1,0,0,0,7200,60
264,1,0,0,1,5166,0.0,128,360,1,1,1,0,0,0,5166,40
265,1,0,0,0,4095,3447.0,151,360,1,0,1,0,0,0,7542,49
266,1,1,0,0,4708,1387.0,150,360,1,1,1,0,1,0,6095,40
267,1,1,0,0,4333,1811.0,160,360,0,2,1,0,0,1,6144,38
268,0,0,0,0,3418,0.0,135,360,1,0,0,0,0,0,3418,25
269,0,0,0,0,2876,1560.0,90,360,1,2,1,1,0,0,4436,49
270,0,0,0,0,3237,0.0,30,360,1,2,1,0,0,0,3237,107
271,1,1,0,0,11146,0.0,136,360,1,2,1,0,0,0,11146,81
272,1,0,0,0,2833,1857.0,126,360,1,0,1,0,0,0,4690,37
273,1,1,0,0,2620,2223.0,150,360,1,1,0,0,0,0,4843,32
274,1,1,0,0,3900,0.0,90,360,1,1,1,0,1,0,3900,43
275,1,1,0,0,2750,1842.0,115,360,1,1,1,1,0,0,4592,39
276,1,1,0,0,3993,3274.0,207,360,1,1,1,0,0,0,7267,35
277,1,1,0,0,3103,1300.0,80,360,1,2,1,0,0,0,4403,55
278,1,1,0,0,14583,0.0,436,360,1,1,1,0,0,0,14583,33
279,0,1,1,0,4100,0.0,124,360,2,0,0,0,0,0,4100,33
280,1,0,1,1,4053,2426.0,158,360,0,2,1,1,0,0,6479,41
281,1,1,0,0,3927,800.0,112,360,1,1,1,0,0,0,4727,42
282,1,1,0,0,2301,985.7999877999998,78,180,1,2,0,0,1,0,3286,42
283,0,0,0,0,1811,1666.0,54,360,1,2,1,0,0,0,3477,64
284,1,1,0,0,20667,0.0,128,360,1,0,1,0,0,0,20667,161
285,1,0,0,0,3158,3053.0,89,360,1,0,1,0,0,0,6211,69
286,0,0,0,1,2600,1717.0,99,300,1,1,1,0,0,0,4317,43
287,1,1,0,0,3704,2000.0,120,360,1,0,1,0,0,0,5704,47
288,0,0,0,0,4124,0.0,115,360,1,1,1,0,0,0,4124,35
289,1,0,0,0,9508,0.0,187,360,1,0,1,0,0,0,9508,50
290,1,1,0,0,3075,2416.0,139,360,1,0,1,0,0,0,5491,39
291,1,1,0,0,4400,0.0,127,360,0,1,1,0,1,0,4400,34
292,1,1,0,0,3153,1560.0,134,360,1,2,1,0,1,0,4713,35
293,0,0,0,0,5417,0.0,143,480,0,2,1,0,0,0,5417,37
294,1,1,0,0,2383,3334.0,172,360,1,1,0,0,0,0,5717,33
295,1,1,0,0,4416,1250.0,110,360,1,2,1,0,0,1,5666,51
296,1,1,0,0,6875,0.0,200,360,1,1,1,1,0,0,6875,34
297,0,1,0,0,4666,0.0,135,360,1,2,1,1,0,0,4666,34
298,0,0,0,0,5000,2541.0,151,480,1,0,1,0,0,0,7541,49
299,1,1,0,0,2014,2925.0,113,360,1,2,1,1,0,0,4939,43
300,1,1,1,0,1800,2934.0,93,360,0,2,1,0,0,0,4734,50
301,1,1,1,0,2875,1750.0,105,360,1,1,1,0,0,0,4625,44
302,0,0,0,0,5000,0.0,132,360,1,0,1,0,0,0,5000,37
303,1,1,0,0,1625,1803.0,96,360,1,2,1,1,0,0,3428,35
304,1,0,0,0,4000,2500.0,140,360,1,0,1,0,0,0,6500,46
305,1,0,1,0,2000,0.0,128,360,1,2,0,0,0,0,2000,15
306,0,0,0,0,3762,1666.0,135,360,1,0,1,0,0,0,5428,40
307,0,0,0,0,2400,1863.0,104,360,0,2,1,0,0,0,4263,40
308,1,0,0,0,20233,0.0,480,360,1,0,1,0,0,0,20233,42
309,1,1,1,0,7667,0.0,185,360,2,0,1,0,1,0,7667,41
310,0,0,0,0,2917,0.0,84,360,1,1,1,0,0,0,2917,34
311,1,0,1,0,2927,2405.0,111,360,1,1,1,0,0,0,5332,48
312,0,0,0,0,2507,0.0,56,360,1,0,1,0,0,0,2507,44
313,1,1,0,1,5746,0.0,144,84,2,0,0,0,1,0,5746,39
314,1,1,0,0,2473,1843.0,159,360,1,0,0,0,0,0,4316,27
315,1,1,1,0,3399,1640.0,111,180,1,2,0,1,0,0,5039,45
316,1,1,0,0,3717,0.0,120,360,1,1,0,0,1,0,3717,30
317,1,1,0,0,2058,2134.0,88,360,2,2,1,0,0,0,4192,47
318,0,0,0,0,3541,0.0,112,360,2,1,0,1,0,0,3541,31
319,1,1,0,1,10000,0.0,155,360,1,0,1,1,0,0,10000,64
320,1,1,0,0,2400,2167.0,115,360,1,1,1,0,0,0,4567,39
321,1,1,0,0,4342,189.0,124,360,1,1,1,0,0,1,4531,36
322,1,1,1,0,3601,1590.0,128,360,1,0,1,0,1,0,5191,40
323,0,0,0,0,3166,2985.0,132,360,2,0,1,0,0,0,6151,46
324,1,1,0,0,15000,0.0,300,360,1,0,1,0,0,1,15000,50
325,1,1,0,1,8666,4983.0,376,360,0,0,1,1,0,0,13649,36
326,1,0,0,0,4917,0.0,130,360,0,0,1,0,0,0,4917,37
327,1,1,0,1,5818,2160.0,184,360,1,1,1,0,0,0,7978,43
328,0,1,0,0,4333,2451.0,110,360,1,2,1,0,0,0,6784,61
329,0,0,0,0,2500,0.0,67,360,1,2,1,0,0,0,2500,37
330,1,0,0,0,4384,1793.0,117,360,1,2,1,1,0,0,6177,52
331,1,0,0,0,2935,0.0,98,360,1,1,0,0,0,0,2935,29
332,1,0,0,0,2833,0.0,71,360,1,2,1,0,0,0,2833,39
333,1,1,0,0,63337,0.0,490,180,1,2,1,0,0,0,63337,129
334,1,1,0,1,9833,1833.0,182,180,1,2,0,1,0,0,11666,64
335,1,1,0,1,5503,4490.0,70,360,1,1,1,0,0,0,9993,142
336,1,1,0,0,5250,688.0,160,360,1,0,1,1,0,0,5938,37
337,1,1,0,1,2500,4600.0,176,360,1,0,1,0,1,0,7100,40
338,0,0,1,0,1830,0.0,128,360,0,2,0,0,0,1,1830,14
339,0,0,0,0,4160,0.0,71,360,1,1,1,0,0,0,4160,58
340,1,1,1,0,2647,1587.0,173,360,1,0,0,0,0,1,4234,24
341,0,0,0,0,2378,0.0,46,360,1,0,1,0,0,0,2378,51
342,1,1,1,0,4554,1229.0,158,360,1,2,1,1,0,0,5783,36
343,1,1,1,0,3173,0.0,74,360,1,1,1,0,0,1,3173,42
344,1,1,0,0,2583,2330.0,125,360,1,0,1,0,1,0,4913,39
345,1,1,0,0,2499,2458.0,160,360,1,1,0,0,0,0,4957,30
346,1,1,1,0,3523,3230.0,152,360,0,0,1,0,0,0,6753,44
347,1,1,1,0,3083,2168.0,126,360,1,2,1,0,1,0,5251,41
348,1,1,0,0,6333,4583.0,259,360,2,1,1,0,0,0,10916,42
349,1,1,0,0,2625,6250.0,187,360,1,0,1,0,0,0,8875,47
350,1,1,0,0,9083,0.0,228,360,1,1,1,0,0,0,9083,39
351,1,0,0,0,8750,4167.0,308,360,1,0,1,0,0,0,12917,41
352,1,1,0,0,2666,2083.0,95,360,1,0,1,0,0,1,4749,49
353,0,1,0,1,5500,0.0,105,360,0,0,1,0,0,0,5500,52
354,0,1,0,0,2423,505.0,130,360,1,1,0,0,0,0,2928,22
355,0,0,0,0,3813,0.0,116,180,1,2,0,0,0,0,3813,32
356,1,1,0,0,8333,3167.0,165,360,1,0,1,0,1,0,11500,69
357,1,1,0,0,3875,0.0,67,360,1,2,1,1,0,0,3875,57
